year_dt,month_dt,pur,pur_sec,pur_tra_veh,pur_pas_car,pur_res_pro,pur_non_res_pro,pur_fix_ass_oth_lan_and_bui,per_use,cre_car,pur_con_goo,con,wor_cap,oth_pur,tot_loa_app
2019,1,Jumlah / Total,4989.172,7035.958,6764.499,19922.288,9115.205,968.623,6023.711,3502.91,0.007,4271.504,12477.663,3569.858,71.876899
2019,2,Jumlah / Total,3238.245,4872.283,4615.6,14333.143,5671.688,395.39,4213.884,2515.62,0.005,1539.294,10158.762,2923.651,49.861965
2019,3,Jumlah / Total,3825.322,5910.468,5618.842,21979.732,8226.192,608.472,5393.634,3384.153,0.011,3448.951,16093.432,3755.846,72.626213
2019,4,Jumlah / Total,3671.35,6236.668,5984.969,23877.827,8594.414,2255.372,5571.067,3647.181,0.012,4154.13,17829.037,7636.318,83.473376
2019,5,Jumlah / Total,3171.779,6710.646,6453.163,25813.166,8460.727,829.567,5860.467,3626.444,0.482,2398.049,17664.963,5307.52,79.84381
2019,6,Jumlah / Total,2696.381,4826.735,4592.977,21192.853,7157.652,984.284,4552.991,2867.955,0.005,3203.43,13811.998,4113.159,65.407443
2019,7,Jumlah / Total,3702.058,6206.498,5919.872,25071.643,8680.67,1143.662,6194.175,3593.732,0.005,3210.242,16709.885,3675.121,78.187691
2019,8,Jumlah / Total,3882.628,6066.447,5511.885,23496.232,9159.708,651.388,6152.545,3766.955,0.005,4787.815,19745.632,4545.972,82.255327
2019,9,Jumlah / Total,2445.705,5010.86,4675.073,20475.916,7403.114,743.041,5246.786,3198.675,0.009,3637.382,17918.143,3004.412,69.084043
2019,10,Jumlah / Total,5639.769,6428.897,6150.974,24323.358,8585.906,868.338,6352.914,3814.042,0.009,3610.573,18332.401,3734.133,81.69034
2019,11,Jumlah / Total,2815.344,6511.249,6252.579,20705.189,9618.821,1351.319,5884.264,3789.4205,10.013,3950.2,18806.521,6550.906,79.9932465
2019,12,Jumlah / Total,1957.157,6708.763,6480.581,19575.819,6896.537,560.641,5315.004,3604.613,0.016,2817.098,14130.847,2301.441,63.867936
